,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,0.12883871793746948,0.0068343074960974925,0.011826694011688232,0.006830352955304637,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.750518250249692,0.8209000982927999,0.5701836012086439,0.20592991970830543,0.5868829673648602,0.23819352254069592,1
8,0.2982574701309204,0.002240064284842057,0.015629947185516357,9.291444580626426e-07,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.7461438656390915,0.8294523842426472,0.5717493576748992,0.1629072598126089,0.5775632168423117,0.2568272529644268,2
3,0.023446381092071533,0.00781351446524307,0.0,0.0,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.7344775703742685,0.8447787973410461,0.5610085051553397,0.10054123107454249,0.5602015259862991,0.2840090671761084,3
7,0.1445751190185547,0.012959519400996565,0.007814586162567139,0.007814586166658772,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.755767437165737,0.8093446421230424,0.5715196471558132,0.08635799701911306,0.5557474308659264,0.2849976981886387,4
5,0.281333327293396,0.019143306349573723,0.007813870906829834,0.007813870983668652,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.7483231964437437,0.8223907806677143,0.5643978702675596,0.06399961424563128,0.5497778654061622,0.29577538094259814,5
6,0.031259119510650635,1.394035287323773e-06,0.003907620906829834,0.006768197947347642,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.712164244650414,0.7946180233431642,0.5297030894486485,0.14572405369350017,0.5455523527839318,0.24995354501600256,6
1,0.08601784706115723,0.007870806449733337,0.003907501697540283,0.006767991470801407,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.7263830779964981,0.7992110404778417,0.5595216629926515,-0.15778506549595428,0.48183267899275933,0.37936801370556017,7
2,0.17197805643081665,0.00017167059679901707,0.01162111759185791,0.006709880104923679,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.7157078059933876,0.7847994076029828,0.5520256374965734,-0.23595551484104882,0.4541443340629738,0.4072980415264897,8
0,0.019537270069122314,0.006768404438590989,0.0,0.0,3,10,"{'max_depth': 3, 'n_estimators': 10}",0.5974706026245867,0.7732170740483317,0.5736262728075839,-0.27656672296912044,0.4169368066278455,0.40774588128678485,9
